Customer_ID,Customer_Name,DeliveryBoy_ID,DeliveryBoy_Name,Route_No,Customer_Status,Month,Year,Billing_Date,Delivery_Days,Daily_Milk_Litre,Total_Morning_Litre,Price_Per_Litre,Opening_Balance,Bill_Amount,Payment_Received,Closing_Balance,Payment_Mode,Payment_Status,Delivery_Type,Commission_Rate,Commission_Amount
C1001,Ajay Gohil,DB001,Amit Patel,1,Active,June,2026,29-06-2026,15,1,15,64,-49.38,960,772.39,138.23,Bank Transfer,Partial,Commission,5,48
C1001,Ajay Gohil,DB001,Amit Patel,1,Active,February,2026,28-02-2026,8,1,8,64,138.23,512,532.72,117.51,UPI,Partial,Commission,5,25.6
C1001,Ajay Gohil,DB001,Amit Patel,1,Active,May,2026,26-05-2026,7,1,7,64,117.51,448,370.65,194.86,Cash,Pending,Commission,5,22.4
C1001,Ajay Gohil,DB001,Amit Patel,1,Active,April,2026,29-04-2026,18,1,18,64,194.86,1152,1081.82,265.04,UPI,Pending,Commission,5,57.6
C1002,Ankit Parmar,DB002,Rahul Parmar,2,Active,February,2026,27-02-2026,28,2,56,58,240.37,3248,3220.99,267.38,UPI,Partial,Fixed Salary,0,0
C1002,Ankit Parmar,DB002,Rahul Parmar,2,Active,June,2026,27-06-2026,29,2,58,58,267.38,3364,3547.56,83.82,Cash,Pending,Fixed Salary,0,0
C1002,Ankit Parmar,DB002,Rahul Parmar,2,Active,May,2026,26-05-2026,31,2,62,58,83.82,3596,3601.72,78.1,Cash,Partial,Fixed Salary,0,0
C1002,Ankit Parmar,DB002,Rahul Parmar,2,Active,April,2026,27-04-2026,28,2,56,58,78.1,3248,3255.45,70.65,Cash,Partial,Fixed Salary,0,0
C1002,Ankit Parmar,DB002,Rahul Parmar,2,Active,March,2026,30-03-2026,29,2,58,58,70.65,3364,3315.83,118.82,UPI,Partial,Fixed Salary,0,0
C1003,Nilesh Soni,DB003,Jignesh Solanki,3,Active,April,2026,29-04-2026,29,0.5,14.5,64,111.12,928,969.25,69.87,UPI,Partial,Commission,4,37.12
C1003,Nilesh Soni,DB003,Jignesh Solanki,3,Active,March,2026,29-03-2026,31,0.5,15.5,64,69.87,992,1003.62,58.25,UPI,Pending,Commission,4,39.68
